xml_file_name,ucid,date,labels,patent_number
EP-2682273-A1.xml,EP-2682273-A1,20140108,"B41J   2/2114      20130101 FI20150710BHEP        , B41L  23/24        20130101 LA20150710BHEP        , B41M   7/02        20130101 LI20150711BHEP        , B41M   7/0045      20130101 LA20150710BHEP        , B41M   7/0054      20130101 LA20150710BHEP        , B41M   7/0081      20130101 LA20150711BHEP        , B41J  11/002       20130101 LI20150711BHEP        ",2682273
EP-2687379-A1.xml,EP-2687379-A1,20140122,"Y10T 156/17        20130101 LA20161216BHEP        , B41K   1/38        20130101 LI20160728BHEP        , B41D   7/00        20130101 LI20160728BHEP        , B41D   7/04        20130101 LI20160728BHEP        , B41K   1/00        20130101 LI20160728BHEP        , B41K   1/50        20130101 FI20140116BHEP        ",2687379
EP-2716456-A1.xml,EP-2716456-A1,20140409,"B41P2215/50        20130101 LA20160621BHEP        , B41F  15/26        20130101 LI20160621BHEP        , B41F  15/0881      20130101 LI20160621BHEP        , H05K   3/1233      20130101 LI20160621BHEP        , H05K   3/3484      20130101 LA20160621BHEP        , B41L  21/02        20130101 FI20140424BHEP        ",2716456
EP-2718493-A1.xml,EP-2718493-A1,20140416,"D06G   1/00        20130101 FI20140807BHEP        , D06C  11/00        20130101 LI20140808BHEP        ",2718493
EP-2639897-A3.xml,EP-2639897-A3,20140507,"G01B  11/00        20130101 LI20151022BHEP        , B41G   7/00        20130101 LI20151022BHEP        , H01R  39/41        20130101 LI20151024BHEP        , G01M  13/00        20130101 FI20151022BHEP        , H02K  13/00        20130101 LI20151022BHEP        , H01R  39/58        20130101 LI20150323BHEP        ",2639897
EP-2733086-A1.xml,EP-2733086-A1,20140521,"B29C2043/3427      20130101 LA20130627BHEP        , B29L2031/565       20130101 LA20130627BHEP        , B29C  43/361       20130101 LA20130626BHEP        , B29C  43/52        20130101 LA20130627BHEP        , B29C2043/3623      20130101 LA20130627BHEP        , B29K2711/02        20130101 LA20130626BHEP        , B27J   5/00        20130101 FI20140620BHEP        , B30B  11/02        20130101 LI20140620BHEP        , B30B  15/32        20130101 LI20140618BHEP        ",2733086
EP-2735448-A1.xml,EP-2735448-A1,20140528,"B41J  11/663       20130101 LI20160517BHEP        , B41J   3/4075      20130101 LI20160517BHEP        , B41J  11/703       20130101 LI20160517BHEP        , B41M   5/30        20130101 LI20140529BHEP        , G06C  29/00        20130101 FI20140529BHEP        ",2735448
EP-2737493-A2.xml,EP-2737493-A2,20140604,"G21H   1/103       20130101 LI20160921BHEP        , G21H   3/00        20130101 LI20160921BHEP        , G21C  19/07        20130101 LA20130528BHEP        , Y02E  30/40        20130101 LA20130724BHEP        , G21D   3/04        20130101 LI20130528BHEP        , G21D   1/02        20130101 LI20130528BHEP        , G21C  19/08        20130101 LI20130422BHEP        , G21D   5/04        20130101 FI20130422BHEP        ",2737493
EP-2739446-A1.xml,EP-2739446-A1,20140611,"G05B  19/404       20130101 LA20180626BHEP        , Y10T 483/13        20130101 LA20170425BHEP        , Y10T 409/30868     20130101 LA20170425BHEP        , Y10T 409/304088    20130101 LA20170425BHEP        , B27H   5/00        20130101 LI20170426BHEP        , B25J  11/005       20130101 LI20170426BHEP        , B23Q  17/2471      20130101 LI20170425BHEP        , B23C   3/00        20130101 LI20170425BHEP        , B08B   9/0821      20130101 LA20170426BHEP        , B08B   9/0808      20130101 LA20170426BHEP        , B25J  15/04        20130101 LI20170418BHEP        , Y10T 483/18        20130101 LA20170418BHEP        , Y10T 483/17        20130101 LA20170418BHEP        , B23Q  17/2452      20130101 LI20170418BHEP        , B23Q  11/005       20130101 LA20170418BHEP        , B23Q  11/08        20130101 LA20170418BHEP        , B23Q   3/15536     20161101 LI20170418BHEP        , Y10T 409/30756     20130101 LA20170418BHEP        , Y10T 483/115       20130101 LA20170418BHEP        , Y10T 409/306944    20130101 LA20170418BHEP        , Y10S 901/41        20130101 LA20170418BHEP        , Y10S 901/47        20130101 LA20170418BHEP        , B25J  11/0055      20130101 LI20170418BHEP        , B23Q  11/0067      20130101 LA20170418BHEP        , Y10T 409/304424    20130101 LA20170418BHEP        , B25J  19/022       20130101 LI20170418BHEP        , Y10S 901/09        20130101 LA20170418BHEP        , B27C   5/00        20130101 LI20170418BHEP        , Y10T 483/15        20130101 LA20170418BHEP        , Y10T 409/307672    20130101 LA20170418BHEP        , B27H   5/08        20130101 LI20140825BHEP        , B27M   3/00        20130101 FI20140825BHEP        ",2739446
EP-2753473-A1.xml,EP-2753473-A1,20140716,"Y10T 428/31989     20150401 LA20170913BHEP        , B32B2471/00        20130101 LA20170425BHEP        , B32B2317/125       20130101 LA20170425BHEP        , B32B2038/0076      20130101 LA20170425BHEP        , B32B  37/0015      20130101 FI20170425BHEP        , B32B  21/08        20130101 LI20170425BHEP        , B29B  13/02        20130101 LI20170425BHEP        , B27H   1/00        20130101 LI20170424BHEP        , B32B  21/042       20130101 LI20170424BHEP        , B32B  37/10        20130101 LI20170424BHEP        , E04F  15/107       20130101 LA20141016BHEP        , E04F  15/102       20130101 LA20141016BHEP        , B32B2038/006       20130101 LA20130612BHEP        ",2753473
EP-2756591-A1.xml,EP-2756591-A1,20140723,"E21B  41/0085      20130101 FI20160827BHEP        , E21B  47/06        20130101 LI20160825BHEP        , E21B  47/065       20130101 LI20160825BHEP        , E21B  34/066       20130101 LI20160825BHEP        , E21B  49/08        20130101 LI20160825BHEP        , E21B  47/14        20130101 LI20160825BHEP        , E21B2049/085       20130101 LA20160825BHEP        , H01L  35/28        20130101 LI20160827BHEP        , H01L  35/00        20130101 LI20151207BHEP        , G21H   1/103       20130101 LI20151204BHEP        ",2756591
EP-2758236-A1.xml,EP-2758236-A1,20140730,"B29K2105/256       20130101 LA20170302BHEP        , B29C  51/20        20130101 LI20170302BHEP        , B29C  53/02        20130101 LI20150716BHEP        , B29K2101/12        20130101 LA20150716BHEP        , B29K2105/253       20130101 LA20150716BHEP        , B27H   1/00        20130101 FI20141215BHEP        , B29C  53/04        20130101 LA20141215BHEP        ",2758236
EP-2764517-A1.xml,EP-2764517-A1,20140813,"G21H   1/02        20130101 LI20150317BHEP        , G21H   1/04        20130101 LI20150317BHEP        , G21C  17/108       20130101 LA20130521BHEP        , G21C  17/102       20130101 LI20130521BHEP        , G21C  17/00        20130101 FI20130328BHEP        , G21H   1/00        20130101 LI20130521BHEP        ",2764517
EP-2774702-A1.xml,EP-2774702-A1,20140910,"F27M2003/13        20130101 LA20141106BHEP        , F27D  11/08        20130101 FI20141107BHEP        , F27D  19/00        20130101 LI20141106BHEP        , F27D2019/0003      20130101 LA20141106BHEP        , B22D  27/02        20130101 LI20141107BHEP        , F27B   5/14        20130101 LI20131115BHEP        , F27D2099/0021      20130101 LA20131115BHEP        , C22B   9/20        20130101 LI20140910BHEP        ",2774702
EP-2788514-A1.xml,EP-2788514-A1,20141015,"C21B2100/66        20170501 LA20170817BHEP        , C21B2100/42        20170501 LA20170817BHEP        , C21B2100/282       20170501 LA20170817BHEP        , Y02P  10/136       20151101 LA20151215BHEP        , F27D   3/18        20130101 LI20151215BHEP        , F27D   3/1536      20130101 LI20151214BHEP        , C21C   7/0087      20130101 LA20151214BHEP        , Y02P  10/283       20151101 LA20151215BHEP        , C22B   5/12        20130101 LI20151215BHEP        , Y02P  10/122       20151101 LA20151215BHEP        , C22B   5/10        20130101 LI20151215BHEP        , C21B  13/0013      20130101 LI20151215BHEP        , Y02P  10/265       20151101 LA20151215BHEP        , C21C   5/567       20130101 LI20151215BHEP        , F27D   3/16        20130101 LI20151215BHEP        , F27B   3/225       20130101 LI20141127BHEP        , F27M2003/13        20130101 LA20141127BHEP        , C21B  11/08        20130101 FI20141127BHEP        , F27B   3/105       20130101 LI20141127BHEP        ",2788514
EP-2791964-A1.xml,EP-2791964-A1,20141022,"G11B   5/855       20130101 LI20180711BHEP        , G11B   5/84        20130101 LI20180711BHEP        , G03F   7/0002      20130101 FI20180711BHEP        , B82Y  40/00        20130101 LI20180711BHEP        , B82Y  10/00        20130101 LI20180711BHEP        , B41L  19/00        20130101 LI20180710BHEP        , B29C  59/002       20130101 LI20180711BHEP        , B29C  43/58        20130101 LI20180711BHEP        , B29C  43/00        20130101 LI20180711BHEP        , G01B  21/08        20130101 LI20150101BHEP        ",2791964
EP-2792436-A2.xml,EP-2792436-A2,20141022,"Y02P  10/295       20151101 LA20151126BHEP        , B23K  26/342       20151001 LI20151009BHEP        , C04B2235/612       20130101 LA20150708BHEP        , C04B2235/6026      20130101 LA20150708BHEP        , C04B2235/665       20130101 LA20150708BHEP        , Y10T 428/24331     20130101 LA20150123BCEP        , Y10T 428/24612     20130101 LA20150123BCEP        , Y10T 428/12396     20130101 LA20150123BCEP        , Y10T 428/24917     20130101 LA20150123BCEP        , Y10T 428/12361     20130101 LA20150123BCEP        , B32B   9/005       20130101 LI20141023BHEP        , B32B   3/266       20130101 LI20141023BHEP        , B32B   3/263       20130101 LI20141023BHEP        , B32B   3/10        20130101 LI20141023BHEP        , B23K  15/0086      20130101 LI20141023BHEP        , B22F   3/1055      20130101 LI20141025BHEP        , F16S   1/10        20130101 FI20141023BHEP        , B32B  15/01        20130101 LI20141023BHEP        , C04B  35/64        20130101 LI20140825BHEP        , B22F   7/08        20130101 LI20140825BHEP        ",2792436
