xml_file_name,ucid,date,labels,patent_number
EP-2700326-A2.xml,EP-2700326-A2,20140226,"Y10T  24/45623     20130101 LA20150826BHEP        , A44D2201/06        20130101 LA20150505BHEP        , A44B  11/2588      20130101 LI20150505BHEP        , A44B  11/258       20130101 LI20150505BHEP        , A44B  11/20        20130101 FI20140220BHEP        ",2700326
EP-2700326-A3.xml,EP-2700326-A3,20140305,"Y10T  24/45623     20130101 LA20150826BHEP        , A44B  11/258       20130101 LI20150505BHEP        , A44B  11/2588      20130101 LI20150505BHEP        , A44D2201/06        20130101 LA20150505BHEP        , A44B  11/20        20130101 FI20140220BHEP        ",2700326
EP-2639897-A3.xml,EP-2639897-A3,20140507,"G01B  11/00        20130101 LI20151022BHEP        , B41G   7/00        20130101 LI20151022BHEP        , H01R  39/41        20130101 LI20151024BHEP        , G01M  13/00        20130101 FI20151022BHEP        , H02K  13/00        20130101 LI20151022BHEP        , H01R  39/58        20130101 LI20150323BHEP        ",2639897
EP-2757878-A1.xml,EP-2757878-A1,20140730,A01L   1/04        20130101 FI20140822BHEP        ,2757878
EP-2773402-A1.xml,EP-2773402-A1,20140910,"B21G   1/08        20130101 LI20130903BHEP        , A61B2017/00526     20130101 LA20140828BHEP        , A61B  17/34        20130101 FI20140829BHEP        , A61M   5/32        20130101 LI20140829BHEP        , B21G   1/00        20130101 LI20121114BHEP        ",2773402
EP-2790912-A1.xml,EP-2790912-A1,20141022,"B31B2110/10        20170801 LA20170802BHEP        , B31B2100/00        20170801 LA20170802BHEP        , B31B  50/28        20170801 LA20170802BHEP        , B31F   1/008       20130101 LI20150423BHEP        , B31F   1/0077      20130101 FI20150423BHEP        , B31C   7/02        20130101 LI20130907BHEP        , B65D   3/06        20130101 LI20130907BHEP        ",2790912
EP-2814759-A1.xml,EP-2814759-A1,20141224,"B31B2120/50        20170801 LA20171228BHEP        , B31B2105/00        20170801 LA20171228BHEP        , B31B  70/8123      20170801 LA20171228BHEP        , B31B  50/811       20170801 LA20171228BHEP        , B65D  75/66        20130101 LI20170104BHEP        , B65D  75/68        20130101 LI20150223BHEP        , A24F  23/02        20130101 FI20150223BHEP        , B65D  85/1027      20130101 LI20150130BHEP        , B31C   1/08        20130101 LI20150122BHEP        , B31C  13/00        20130101 LI20150122BHEP        , B31D   1/0075      20130101 LI20150101BHEP        , B31D2201/00        20130101 LA20150101BHEP        , B65D  75/5827      20130101 LI20150101BHEP        ",2814759
EP-2700326-B1.xml,EP-2700326-B1,20151118,"A44B  11/20        20130101 FI20140220BHEP        , Y10T  24/45623     20130101 LA20150826BHEP        , A44D2201/06        20130101 LA20150505BHEP        , A44B  11/2588      20130101 LI20150505BHEP        , A44B  11/258       20130101 LI20150505BHEP        ",2700326
EP-2790912-B1.xml,EP-2790912-B1,20151125,"B31B2110/10        20170801 LA20170802BHEP        , B31B2100/00        20170801 LA20170802BHEP        , B31B  50/28        20170801 LA20170802BHEP        , B65D   3/06        20130101 LI20130907BHEP        , B31C   7/02        20130101 LI20130907BHEP        , B31F   1/008       20130101 LI20150423BHEP        , B31F   1/0077      20130101 FI20150423BHEP        ",2790912
EP-2757878-B1.xml,EP-2757878-B1,20151209,A01L   1/04        20130101 FI20140822BHEP        ,2757878
EP-2639897-B1.xml,EP-2639897-B1,20151230,"H01R  39/58        20130101 LI20150323BHEP        , B41G   7/00        20130101 LI20151022BHEP        , G01B  11/00        20130101 LI20151022BHEP        , H01R  39/41        20130101 LI20151024BHEP        , G01M  13/00        20130101 FI20151022BHEP        , H02K  13/00        20130101 LI20151022BHEP        ",2639897
EP-2773402-B1.xml,EP-2773402-B1,20151230,"B21G   1/08        20130101 LI20130903BHEP        , B21G   1/00        20130101 LI20121114BHEP        , A61B  17/34        20130101 FI20140829BHEP        , A61M   5/32        20130101 LI20140829BHEP        , A61B2017/00526     20130101 LA20140828BHEP        ",2773402
EP-2814759-B1.xml,EP-2814759-B1,20151230,"B31B2120/50        20170801 LA20171228BHEP        , B31B2105/00        20170801 LA20171228BHEP        , B31B  70/8123      20170801 LA20171228BHEP        , B31B  50/811       20170801 LA20171228BHEP        , B65D  75/66        20130101 LI20170104BHEP        , B31C  13/00        20130101 LI20150122BHEP        , B65D  85/1027      20130101 LI20150130BHEP        , B31D2201/00        20130101 LA20150101BHEP        , B65D  75/68        20130101 LI20150223BHEP        , B31C   1/08        20130101 LI20150122BHEP        , B65D  75/5827      20130101 LI20150101BHEP        , B31D   1/0075      20130101 LI20150101BHEP        , A24F  23/02        20130101 FI20150223BHEP        ",2814759
