xml_file_name,ucid,date,labels,patent_number
EP-2689152-A1.xml,EP-2689152-A1,20140129,"F16C  11/0619      20130101 LI20121108BHEP        , A63G  31/16        20130101 LI20130101BHEP        , A47C   7/68        20130101 LI20130101BHEP        , A47C   7/002       20130101 LI20130101BHEP        , A47C   1/12        20130101 LI20130101BHEP        , F16C  29/02        20130101 LI20121108BHEP        , A47C  15/004       20130101 FI20130101BHEP        , A63J  25/00        20130101 LI20130101BHEP        ",2689152
EP-2700326-A2.xml,EP-2700326-A2,20140226,"Y10T  24/45623     20130101 LA20150826BHEP        , A44D2201/06        20130101 LA20150505BHEP        , A44B  11/2588      20130101 LI20150505BHEP        , A44B  11/258       20130101 LI20150505BHEP        , A44B  11/20        20130101 FI20140220BHEP        ",2700326
EP-2700326-A3.xml,EP-2700326-A3,20140305,"Y10T  24/45623     20130101 LA20150826BHEP        , A44B  11/258       20130101 LI20150505BHEP        , A44B  11/2588      20130101 LI20150505BHEP        , A44D2201/06        20130101 LA20150505BHEP        , A44B  11/20        20130101 FI20140220BHEP        ",2700326
EP-2708338-A2.xml,EP-2708338-A2,20140319,"Y10T  29/49835     20130101 LA20150115BCEP        , B25C   1/00        20130101 LI20140313BHEP        , B25C   7/00        20130101 FI20140321BHEP        , B27F   7/04        20130101 LI20140321BHEP        , B27M   3/0073      20130101 LI20140414BHEP        , B25C   5/02        20130101 LI20140905BHEP        ",2708338
EP-2639897-A3.xml,EP-2639897-A3,20140507,"G01B  11/00        20130101 LI20151022BHEP        , B41G   7/00        20130101 LI20151022BHEP        , H01R  39/41        20130101 LI20151024BHEP        , G01M  13/00        20130101 FI20151022BHEP        , H02K  13/00        20130101 LI20151022BHEP        , H01R  39/58        20130101 LI20150323BHEP        ",2639897
EP-2732019-A1.xml,EP-2732019-A1,20140521,"G01N2021/3513      20130101 LA20160303BHEP        , G01N2201/0227      20130101 LA20160303BHEP        , C12H   1/22        20130101 LI20160303BHEP        , G01N  21/3504      20130101 LI20140614BHEP        , G01N  21/59        20130101 FI20140614BHEP        ",2732019
EP-2708338-A3.xml,EP-2708338-A3,20140521,"Y10T  29/49835     20130101 LA20150115BCEP        , B27F   7/04        20130101 LI20140321BHEP        , B27M   3/0073      20130101 LI20140414BHEP        , B25C   1/00        20130101 LI20140313BHEP        , B25C   7/00        20130101 FI20140321BHEP        , B25C   5/02        20130101 LI20140905BHEP        ",2708338
EP-2753369-A1.xml,EP-2753369-A1,20140716,"A61L  17/14        20130101 FI20130815BHEP        , A61B  17/06066     20130101 LA20130412BHEP        , A61L  17/145       20130101 LI20130815BHEP        , A61L  17/005       20130101 LI20130815BHEP        , D06Q   1/14        20130101 LI20131031BHEP        , A61B2017/00893     20130101 LA20130412BHEP        , A61B2017/00004     20130101 LA20130412BHEP        , D06Q   1/10        20130101 LI20131031BHEP        , A61B2017/06176     20130101 LA20130412BHEP        , A61B  17/06166     20130101 LI20130101BHEP        ",2753369
EP-2753561-A1.xml,EP-2753561-A1,20140716,"B65H  29/12        20130101 LI20150428BHEP        , B65H2301/42262     20130101 LA20150428BHEP        , B65H2301/321       20130101 LA20150428BHEP        , B65H   5/062       20130101 LI20150427BHEP        , B65H2404/1112      20130101 LA20150428BHEP        , B65H2404/147       20130101 LA20150428BHEP        , B65H2301/3422      20130101 LA20150428BHEP        , B65H2301/3121      20130101 LA20150428BHEP        , B65H2301/33214     20130101 LA20150428BHEP        , B65H2301/4474      20130101 LA20150428BHEP        , B65H2301/33212     20130101 LA20150428BHEP        , B65H2301/3411      20130101 LA20150427BHEP        , B65H2301/34112     20130101 LA20150428BHEP        , B65H2404/2611      20130101 LA20150428BHEP        , B65H  29/125       20130101 LI20150427BHEP        , B65H2301/33222     20130101 LA20150428BHEP        , B65H  31/3027      20130101 LI20150428BHEP        , B65H2801/66        20130101 LA20150428BHEP        , B65H  31/3009      20130101 LI20150428BHEP        , B65H2701/18262     20130101 LA20150428BHEP        , B43M   3/04        20130101 FI20140821BHEP        ",2753561
EP-2757878-A1.xml,EP-2757878-A1,20140730,A01L   1/04        20130101 FI20140822BHEP        ,2757878
EP-2689152-A4.xml,EP-2689152-A4,20140827,"A47C  15/004       20130101 FI20130101BHEP        , F16C  29/02        20130101 LI20121108BHEP        , A47C   7/68        20130101 LI20130101BHEP        , A47C   7/002       20130101 LI20130101BHEP        , A63G  31/16        20130101 LI20130101BHEP        , F16C  11/0619      20130101 LI20121108BHEP        , A47C   1/12        20130101 LI20130101BHEP        , A63J  25/00        20130101 LI20130101BHEP        ",2689152
EP-2773402-A1.xml,EP-2773402-A1,20140910,"B21G   1/08        20130101 LI20130903BHEP        , A61B2017/00526     20130101 LA20140828BHEP        , A61B  17/34        20130101 FI20140829BHEP        , A61M   5/32        20130101 LI20140829BHEP        , B21G   1/00        20130101 LI20121114BHEP        ",2773402
EP-2790912-A1.xml,EP-2790912-A1,20141022,"B31B2110/10        20170801 LA20170802BHEP        , B31B2100/00        20170801 LA20170802BHEP        , B31B  50/28        20170801 LA20170802BHEP        , B31F   1/008       20130101 LI20150423BHEP        , B31F   1/0077      20130101 FI20150423BHEP        , B31C   7/02        20130101 LI20130907BHEP        , B65D   3/06        20130101 LI20130907BHEP        ",2790912
EP-2799244-A1.xml,EP-2799244-A1,20141105,"B42B   5/10        20130101 LI20150903BHEP        , B42P2241/22        20130101 LA20150903BHEP        , B41F  19/00        20130101 FI20141030BHEP        ",2799244
EP-2814759-A1.xml,EP-2814759-A1,20141224,"B31B2120/50        20170801 LA20171228BHEP        , B31B2105/00        20170801 LA20171228BHEP        , B31B  70/8123      20170801 LA20171228BHEP        , B31B  50/811       20170801 LA20171228BHEP        , B65D  75/66        20130101 LI20170104BHEP        , B65D  75/68        20130101 LI20150223BHEP        , A24F  23/02        20130101 FI20150223BHEP        , B65D  85/1027      20130101 LI20150130BHEP        , B31C   1/08        20130101 LI20150122BHEP        , B31C  13/00        20130101 LI20150122BHEP        , B31D   1/0075      20130101 LI20150101BHEP        , B31D2201/00        20130101 LA20150101BHEP        , B65D  75/5827      20130101 LI20150101BHEP        ",2814759
EP-2820244-A1.xml,EP-2820244-A1,20150107,"E21D   9/122       20130101 FI20130513BHEP        , E21F  13/06        20130101 LI20130513BHEP        ",2820244
