xml_file_name,ucid,date,labels,patent_number
EP-1628142-B1.xml,EP-1628142-B1,20151104,"['C09K  11/772       20130101 LI20130101BHEP        ', ' G21K   4/00        20130101 FI20130101BHEP        ']",1628142
EP-1712735-B1.xml,EP-1712735-B1,20151014,"['F01D   5/005       20130101 FI20130905BHEP        ', ' B23P   6/007       20130101 LI20130312BHEP        ', ' F01D   5/026       20130101 LI20130905BHEP        ', ' Y10T  29/49728     20130101 LA20150120BCEP        ', ' Y10T  29/49318     20130101 LA20150120BCEP        ', ' Y10T  29/49737     20130101 LA20150120BCEP        ', ' F05D2240/60        20130101 LA20130312BHEP        ', ' F16D2001/103       20130101 LA20130905BHEP        ', ' Y10T  29/49734     20130101 LA20150120BCEP        ', ' Y10T  29/49732     20130101 LA20150120BCEP        ', ' Y10T  29/49742     20130101 LA20150120BCEP        ', ' B23P   6/00        20130101 LI20130607BHEP        ', ' F05D2260/4031      20130101 LA20130312BHEP        ', ' Y10T  29/49746     20130101 LA20150120BCEP        ']",1712735
EP-1777792-B1.xml,EP-1777792-B1,20151007,"['H02K  11/33        20160115 LI20160118BHEP        ', ' Y10T 408/65        20130101 LA20150120BCEP        ', ' H02M   5/2573      20130101 LA20131030BHEP        ', ' H02H   5/04        20130101 LA20150414BHEP        ', ' H02P  25/14        20130101 FI20131030BHEP        ', ' B24B  23/028       20130101 LI20131030BHEP        ', ' H02H   7/08        20130101 LI20150414BHEP        ', ' H02P  29/02        20130101 LI20131030BHEP        ', ' B24B  55/00        20130101 LI20131030BHEP        ']",1777792
EP-1788455-B1.xml,EP-1788455-B1,20151021,['G03G  15/50        20130101 FI20130101BHEP        '],1788455
EP-1798380-B1.xml,EP-1798380-B1,20151111,"['Y02T  50/673       20130101 LA20160530BHEP        ', ' F05D2240/57        20130101 LA20130429BHEP        ', ' F05D2260/33        20130101 LA20130508BHEP        ', ' F01D   9/041       20130101 FI20130815BHEP        ', ' F01D  11/005       20130101 LI20130815BHEP        ', ' F05D2260/30        20130101 LA20130508BHEP        ']",1798380
EP-1847773-B1.xml,EP-1847773-B1,20151230,"['F23C  10/18        20130101 FI20130101BHEP        ', ' F23J2900/01002     20130101 LA20130101BHEP        ', ' F23J   1/00        20130101 LI20130101BHEP        ']",1847773
EP-1857630-B1.xml,EP-1857630-B1,20151021,['E06B   9/50        20130101 FI20130101BHEP        '],1857630
EP-1918964-B1.xml,EP-1918964-B1,20151014,"['H01J  37/28        20130101 LI20130101BHEP        ', ' H01J2237/2823      20130101 LA20130101BHEP        ', ' H01J2237/2802      20130101 LA20130101BHEP        ', ' H01J  37/263       20130101 FI20130101BHEP        ']",1918964
EP-1942233-B1.xml,EP-1942233-B1,20151209,"['E04B   2/74        20130101 FI20130101BHEP        ', ' A47F   5/0846      20130101 LI20130101BHEP        ', ' A47B  95/008       20130101 LI20130101BHEP        ', ' E04B2002/7483      20130101 LA20130101BHEP        ']",1942233
EP-1942249-B1.xml,EP-1942249-B1,20151028,"['Y02T  50/671       20130101 LA20160119BHEP        ', ' F01D  25/02        20130101 LI20140123BHEP        ', ' F01D   5/046       20130101 FI20130821BHEP        ', ' F28F2265/30        20130101 LA20140613BHEP        ', ' F28D  15/0275      20130101 LI20140613BHEP        ', ' F01D  25/10        20130101 LI20130821BHEP        ', ' F01D   5/08        20130101 LI20130821BHEP        ', ' F05D2260/208       20130101 LA20130508BHEP        ', ' F02C   7/047       20130101 LI20140120BHEP        ', ' Y02T  50/676       20130101 LA20130821BHEP        ', ' F01D  25/08        20130101 LI20130821BHEP        ']",1942249
