code,freq,code_subclass,freq_subclass
G06J3,1,G06J,1
C10H17,1,C10H,1
B62C1,2,B62C,2
G10B3,2,G10B,2
G03D13,1,G03D,2
C06F5,1,C06F,2
G06C29,1,G06C,3
G09D3,3,G09D,3
E02C5,3,E02C,3
C10F7,1,C10F,3
B68F1,2,B68F,4
B41D3,1,B41D,4
D06J1,4,D06J,4
C09H5,1,C09H,4
D04G1,1,D04G,4
B41G7,5,B41G,5
B27H5,2,B27H,5
D06G3,1,D06G,6
C12J1,6,C12J,6
F16S3,1,F16S,7
F24J3,1,F24J,8
H05C3,1,H05C,9
G12B9,1,G12B,10
B27J7,1,B27J,10
D01C1,5,D01C,10
D02H3,2,D02H,12
B61J1,5,B61J,14
B41L1,1,B41L,15
B68B11,1,B68B,16
G06E1,1,G06E,16
G21H3,2,G21H,17
G10F5,1,G10F,18
D01B3,1,D01B,18
F27M2002,1,F27M,18
