xml_file_name,ucid,date,labels,patent_number
EP-2677904-A1.xml,EP-2677904-A1,20140101,"A47J  31/00        20060101ALI20140623BHEP        , A47J  19/00        20060101AFI20140623BHEP        , A47J  43/08        20060101ALI20140623BHEP        , A47J  43/07        20060101ALI20140623BHEP        , A23N   1/00        20060101ALI20140623BHEP        ",2677904
EP-2677909-A1.xml,EP-2677909-A1,20140101,"A47J  43/08        20060101ALI20150512BHEP        , A47J  19/00        20060101AFI20150512BHEP        , A47J  31/00        20060101ALI20150512BHEP        , A23N   1/00        20060101ALI20150512BHEP        , A47J  43/07        20060101ALI20150512BHEP        ",2677909
EP-2678006-A1.xml,EP-2678006-A1,20140101,"A61K   9/00        20060101AFI20150305BHEP        , A61K  31/21        20060101ALI20150305BHEP        , B65D  85/00        20060101ALI20150305BHEP        , A61J   1/03        20060101ALN20150305BHEP        , A61K  47/14        20060101ALI20150305BHEP        , A61P   9/10        20060101ALI20150305BHEP        , A61K   9/14        20060101ALI20150305BHEP        , A61K   9/16        20060101ALI20150305BHEP        , A61K  47/26        20060101ALI20150305BHEP        ",2678006
EP-2678115-A1.xml,EP-2678115-A1,20140101,B05B   5/16        20060101AFI20120914BHEP        ,2678115
EP-2678175-A1.xml,EP-2678175-A1,20140101,"B60H   1/00        20060101AFI20120913BHEP        , B60H   1/32        20060101ALI20120913BHEP        ",2678175
EP-2678249-A1.xml,EP-2678249-A1,20140101,"B65D  43/02        20060101ALI20150511BHEP        , B65D  81/34        20060101AFI20150511BHEP        , A47J  36/10        20060101ALI20150511BHEP        , A47J  36/02        20060101ALI20150511BHEP        , H05B   6/64        20060101ALI20150511BHEP        ",2678249
EP-2678309-A1.xml,EP-2678309-A1,20140101,"C07C 227/18        20060101ALI20120914BHEP        , C07C 229/12        20060101ALI20120914BHEP        , B01J  45/00        20060101ALI20120914BHEP        , C07C 231/02        20060101ALI20120914BHEP        , C07C 229/24        20060101AFI20120914BHEP        , C07C 237/06        20060101ALI20120914BHEP        , C09K   8/528       20060101ALI20120914BHEP        , C09K   8/86        20060101ALI20120914BHEP        ",2678309
EP-2678502-A1.xml,EP-2678502-A1,20140101,"E05C  19/18        20060101ALI20130710BHEP        , E05C  17/44        20060101AFI20130710BHEP        , E05C  19/00        20060101ALI20130710BHEP        , E05C  17/54        20060101ALI20130710BHEP        ",2678502
EP-2678568-A1.xml,EP-2678568-A1,20140101,"F04D  29/42        20060101ALI20150507BHEP        , F04D  23/00        20060101ALI20150507BHEP        , F04D   5/00        20060101AFI20150507BHEP        ",2678568
EP-2678569-A1.xml,EP-2678569-A1,20140101,"F04D  29/058       20060101ALI20150623BHEP        , F04D  27/02        20060101AFI20150623BHEP        ",2678569
EP-2678914-A1.xml,EP-2678914-A1,20140101,"H02M  11/00        20060101ALI20120924BHEP        , H02J   5/00        20060101ALI20120924BHEP        , H02J   1/10        20060101AFI20120924BHEP        ",2678914
EP-2678998-A1.xml,EP-2678998-A1,20140101,"H04M   1/725       20060101AFI20120913BHEP        , G01V  15/00        20060101ALI20120913BHEP        , G08B  21/24        20060101ALI20120913BHEP        , H04M   1/60        20060101ALI20120913BHEP        , G08B  13/14        20060101ALI20120913BHEP        , A45C  13/18        20060101ALI20120913BHEP        , G06F  21/00        20130101ALI20120913BHEP        ",2678998
EP-2679431-A1.xml,EP-2679431-A1,20140101,B60K  28/04        20060101AFI20150527BHEP        ,2679431
EP-2679440-A1.xml,EP-2679440-A1,20140101,B60N   2/28        20060101AFI20150702BHEP        ,2679440
EP-2679471-A1.xml,EP-2679471-A1,20140101,B62D  25/08        20060101AFI20140819BHEP        ,2679471
EP-2679472-A1.xml,EP-2679472-A1,20140101,"B62D  25/08        20060101AFI20140724BHEP        , B62D  25/20        20060101ALI20140724BHEP        ",2679472
EP-2679491-A1.xml,EP-2679491-A1,20140101,"C10M 171/06        20060101ALI20150629BHEP        , F16H  57/04        20100101ALI20150629BHEP        , C10M 125/02        20060101ALI20150629BHEP        , B64C  27/12        20060101AFI20150629BHEP        ",2679491
EP-2679990-A1.xml,EP-2679990-A1,20140101,"C12Q   1/32        20060101ALI20131015BHEP        , C12Q   1/00        20060101ALI20131015BHEP        , G01N  27/327       20060101AFI20131015BHEP        , G01N  27/416       20060101ALI20131015BHEP        , G01N  27/30        20060101ALI20131015BHEP        ",2679990
EP-2680075-A1.xml,EP-2680075-A1,20140101,"G03G   5/05        20060101ALI20150601BHEP        , G03G   5/06        20060101AFI20150601BHEP        , G03G   5/043       20060101ALI20150601BHEP        , G03G   5/07        20060101ALI20150601BHEP        , G03G   5/04        20060101ALI20150601BHEP        , G03G   5/14        20060101ALI20150601BHEP        ",2680075
EP-2680077-A1.xml,EP-2680077-A1,20140101,"G03G   5/05        20060101ALI20131016BHEP        , G03G   5/06        20060101AFI20131016BHEP        , G03G   5/14        20060101ALI20131016BHEP        , G03G   5/07        20060101ALI20131016BHEP        ",2680077
EP-2680193-A1.xml,EP-2680193-A1,20140101,"H01Q   1/38        20060101ALI20131025BHEP        , H01Q  13/10        20060101ALI20131025BHEP        , H01Q   1/42        20060101ALI20131025BHEP        , H04B   5/02        20060101ALI20131025BHEP        , H01Q   1/44        20060101ALI20131025BHEP        , G06K  19/077       20060101AFI20131025BHEP        , H05K   1/02        20060101ALI20131025BHEP        , H05K   1/14        20060101ALI20131025BHEP        , H01Q   1/36        20060101ALI20131025BHEP        , H01Q   1/50        20060101ALI20131025BHEP        , H05K   1/16        20060101ALI20131025BHEP        , H01Q   7/00        20060101ALI20131025BHEP        , H01Q   1/24        20060101ALI20131025BHEP        , H01Q   9/30        20060101ALI20131025BHEP        , H01Q   9/16        20060101ALI20131025BHEP        ",2680193
EP-2680289-A1.xml,EP-2680289-A1,20140101,H01H   1/62        20060101AFI20140912BHEP        ,2680289
EP-2680335-A1.xml,EP-2680335-A1,20140101,"H01L  41/08        20060101ALI20141031BHEP        , H01L  41/187       20060101ALI20141031BHEP        , F02M  51/06        20060101ALI20141031BHEP        , H01L  41/083       20060101AFI20141031BHEP        , F02M  51/00        20060101ALI20141031BHEP        ",2680335
