xml_file_name,ucid,date,labels,patent_number
EP-2189176-B1.xml,EP-2189176-B1,20151104,"['G06M   1/24        20060101A I20051008RMEP        ', ' A61M  15/00        20060101AFI20140611BHEP        ']",2189176
EP-2292442-B1.xml,EP-2292442-B1,20151223,"['B65H  31/20        20060101ALN20150706BHEP        ', ' B42C  19/08        20060101ALI20150706BHEP        ', ' B42C  19/02        20060101ALI20150706BHEP        ', ' B42C   1/12        20060101AFI20150706BHEP        ', ' B42B   4/00        20060101ALI20150706BHEP        ']",2292442
EP-2639385-B1.xml,EP-2639385-B1,20151028,"['A63J  99/00        20090101CLI20081227RMEP        ', ' A63J  25/00        20090101AFI20081227RMEP        ', ' A63J   5/00        20060101A I20060506RMEP        ', ' G03B  21/56        20060101ALI20140804BHEP        ', ' G03B  21/32        20060101ALI20140804BHEP        ', ' E04H   3/22        20060101AFI20140804BHEP        ']",2639385
EP-2682451-B1.xml,EP-2682451-B1,20151118,"['C10N  30/12        20060101ALN20150702BHEP        ', ' C10N  10/04        20060101ALN20150702BHEP        ', ' C10M 159/22        20060101AFI20150702BHEP        ', ' C07G  99/00        20090101ALI20150702BHEP        ', ' C07F   3/04        20060101ALI20150702BHEP        ', ' C10N  30/04        20060101ALN20150702BHEP        ']",2682451
EP-2687383-B1.xml,EP-2687383-B1,20151118,"['B44B   5/00        20060101AFI20130613BHEP        ', ' B21H   8/00        20060101ALI20130613BHEP        ', ' B21H   1/00        20060101ALI20130613BHEP        ', ' B21D  51/00        20060101ALI20130613BHEP        ', ' B21D  22/00        20060101ALI20130613BHEP        ']",2687383
EP-2689152-B1.xml,EP-2689152-B1,20151209,"['F16C  29/02        20060101ALI20150415BHEP        ', ' F16C  11/06        20060101AFI20150415BHEP        ', ' A63J  25/00        20090101ALI20150415BHEP        ', ' A63G  31/16        20060101ALI20150415BHEP        ', ' A63F  11/00        20060101ALI20150415BHEP        ', ' A47C  31/00        20060101ALI20150415BHEP        ', ' A47C  15/00        20060101ALI20150415BHEP        ', ' A47C   7/68        20060101ALI20150415BHEP        ', ' A47C   7/62        20060101ALI20150415BHEP        ', ' A47C   7/00        20060101ALI20150415BHEP        ', ' A47C   1/12        20060101ALI20150415BHEP        ']",2689152
EP-2705868-B8.xml,EP-2705868-B8,20151125,"['G06M   1/04        20060101ALI20140203BHEP        ', ' A61M  15/00        20060101AFI20140203BHEP        ']",2705868
EP-2708338-B1.xml,EP-2708338-B1,20151118,"['B27M   3/00        20060101ALI20140620BHEP        ', ' B27F   7/04        20060101AFI20140620BHEP        ', ' B25C   7/00        20060101ALI20140620BHEP        ', ' B25C   5/02        20060101ALI20140620BHEP        ', ' B21J  19/04        20060101ALI20140620BHEP        ']",2708338
EP-2716214-B1.xml,EP-2716214-B1,20151104,"['G16H  10/60        20180101ALI20171024RMEP        ', ' G01N  35/02        20060101ALI20150423BHEP        ', ' G01N  35/00        20060101ALI20150423BHEP        ', ' G01N   1/10        20060101ALI20150423BHEP        ', ' B65C   9/00        20060101ALI20150423BHEP        ', ' B01L   9/06        20060101ALI20150423BHEP        ', ' A61B   5/154       20060101ALI20150423BHEP        ', ' A61B   5/15        20060101AFI20150423BHEP        ', ' B01L   3/00        20060101ALI20150423BHEP        ', ' A61B   5/153       20060101ALI20150423BHEP        ']",2716214
EP-2732019-B1.xml,EP-2732019-B1,20151007,"['G01N  33/14        20060101ALI20130130BHEP        ', ' G01N  21/35        20140101ALI20130130BHEP        ', ' C12H   1/22        20060101AFI20130130BHEP        ']",2732019
EP-2749551-B1.xml,EP-2749551-B1,20151104,"['C05G   3/00        20060101ALI20150331BHEP        ', ' C05B   7/00        20060101ALI20150331BHEP        ', ' B65B   3/04        20060101ALI20150331BHEP        ', ' A01C  15/02        20060101AFI20150331BHEP        ']",2749551
EP-2750955-B1.xml,EP-2750955-B1,20151021,"['B61L  23/04        20060101ALI20130315BHEP        ', ' B61K   9/10        20060101AFI20130315BHEP        ']",2750955
EP-2753369-B1.xml,EP-2753369-B1,20151209,"['D06Q   1/14        20060101ALI20150604BHEP        ', ' D06Q   1/10        20060101ALI20150604BHEP        ', ' A61L  17/14        20060101ALI20150604BHEP        ', ' A61L  17/00        20060101ALI20150604BHEP        ', ' A61B  17/06        20060101AFI20150604BHEP        ']",2753369
EP-2755326-B1.xml,EP-2755326-B1,20151125,"['H03L   7/08        20060101AFI20150708BHEP        ', ' H03J   1/00        20060101ALI20150708BHEP        ', ' H03G   3/30        20060101ALI20150708BHEP        ']",2755326
EP-2757878-B1.xml,EP-2757878-B1,20151209,['A01L   1/04        20060101AFI20130411BHEP        '],2757878
EP-2773402-B1.xml,EP-2773402-B1,20151230,"['B21G   1/00        20060101ALI20130522BHEP        ', ' A61M   5/32        20060101AFI20130522BHEP        ', ' A61B  17/34        20060101ALI20130522BHEP        ']",2773402
EP-2790912-B1.xml,EP-2790912-B1,20151125,"['B65D   3/06        20060101ALI20130704BHEP        ', ' B31C   7/02        20060101ALI20130704BHEP        ', ' B31B   3/28        20060101AFI20130704BHEP        ', ' B31B   1/00        20060101ALI20130704BHEP        ']",2790912
EP-2799244-B1.xml,EP-2799244-B1,20151223,['B42B   5/10        20060101AFI20140625BHEP        '],2799244
EP-2806929-B1.xml,EP-2806929-B1,20151104,"['G06M   3/02        20060101ALI20150605BHEP        ', ' G06M   1/24        20060101ALI20150605BHEP        ', ' A61M  15/00        20060101AFI20150605BHEP        ']",2806929
EP-2809442-B1.xml,EP-2809442-B1,20151216,"['C13K  13/00        20060101ALI20130821BHEP        ', ' C13B  20/14        20110101ALI20130821BHEP        ', ' C07H   3/02        20060101ALI20130821BHEP        ', ' B01J  39/00        20060101AFI20130821BHEP        ']",2809442
EP-2811836-B1.xml,EP-2811836-B1,20151202,['A22B   5/00        20060101AFI20130827BHEP        '],2811836
EP-2814759-B1.xml,EP-2814759-B1,20151230,"['B65D  85/10        20060101ALI20150527BHEP        ', ' B65D  75/68        20060101ALI20150527BHEP        ', ' B65D  75/66        20060101ALI20150527BHEP        ', ' B65D  75/58        20060101ALI20150527BHEP        ', ' B31D   1/00        20060101ALI20150527BHEP        ', ' B31C  99/00        20090101ALI20150527BHEP        ', ' B31C   1/08        20060101ALI20150527BHEP        ', ' A24F  23/02        20060101AFI20150527BHEP        ']",2814759
EP-2820244-B1.xml,EP-2820244-B1,20151118,"['E21F  13/06        20060101ALI20130920BHEP        ', ' E21D   9/12        20060101AFI20130920BHEP        ']",2820244
