code_subclass,freq_subclass
B62C,1
F24T,1
C06F,1
G09D,2
B41B,2
G10B,2
G06D,2
G06J,2
B68F,3
G03D,3
B27H,3
C10F,4
B41G,4
B41D,4
E02C,5
F17B,5
D06J,5
D04G,6
C09H,7
D06G,8
C12J,8
D02H,8
G06C,9
D01C,10
H05C,10
G21H,12
B21L,12
B68B,12
C12S,13
A42C,13
B61J,15
B41L,16
B60V,16
B27J,16
B21G,18
A63K,19
C12F,20
G10F,20
A63D,22
D01B,23
G06E,23
D04D,25
B01B,26
B02B,26
C09F,29
B31C,29
F16S,32
C23D,32
G10G,34
G12B,35
C06D,35
B68C,36
F03H,38
F15C,41
D03J,41
B60F,43
A01L,43
H05F,44
G16H,44
C06C,45
D06Q,45
