code_subclass,freq_subclass
G03R,1
F13J,1
C44B,1
B30S,1
A61E,1
C98L,1
Y02R,1
H06N,1
A05D,1
B50L,1
D26B,1
B05Y,1
B14B,1
B63R,1
A45H,1
F51B,1
A26K,1
B24J,1
H21K,1
C93B,1
F04L,1
F14H,1
C01Q,1
Y10A,1
B52D,1
H10C,1
F12D,1
F02E,1
B52J,1
B04N,1
G23D,1
G64D,1
B03G,1
H10G,1
F10P,1
A23U,1
D60D,1
B06I,1
E95B,1
A08B,1
E10B,1
F82F,1
F14A,1
B82V,1
B41H,1
E16M,1
G24C,1
G60L,1
B55H,1
G26B,1
F31Y,1
H95H,1
A04L,1
B14F,1
B37D,1
Y20B,1
C97C,1
G15F,1
Y20S,1
H07M,1
E63J,1
A23I,1
B05H,1
B16L,1
B50K,1
F60W,1
A43L,1
B01A,1
B35F,1
B62R,1
H34N,1
G62M,1
A44G,1
A06M,1
F23V,1
B50J,1
D25C,1
B32N,1
H82Y,1
B32R,1
B44M,1
A26D,1
G96T,1
H29C,1
Y10R,1
A10T,1
A23W,1
G82Y,1
F01S,1
G06V,1
G08V,1
C24C,1
B21M,1
B12K,1
G90B,1
B22Y,1
F11B,1
B25P,1
F95D,1
B76H,1
F41D,1
B45H,1
G91S,1
H10B,1
C23L,1
C78F,1
Y10G,1
A63L,1
A03D,1
H20G,1
B03F,1
F20D,1
H06T,1
F10C,1
G04V,1
C13N,1
B01H,1
F02H,1
A16N,1
A31C,1
F32M,1
B09K,1
D07G,1
B35C,1
F15K,1
H03R,1
A21K,1
H05Q,1
A21L,1
H81B,1
A06K,1
B04R,1
F60K,1
B43D,1
B01G,1
B21P,1
B54C,1
A41K,1
H01Y,1
D09F,1
G16Q,1
E08B,1
E20F,1
A25L,1
F06K,1
C90D,1
H09P,1
E94B,1
A14D,1
A01A,1
D60F,1
G60P,1
H29L,1
B32Q,1
H01V,1
A52B,1
G60C,1
G26K,1
B62Q,1
B63N,1
B47D,1
B04H,1
B34L,1
E03E,1
B24Q,1
F26H,1
F04G,1
B66P,1
B04F,1
F14D,1
D23D,1
A14G,1
B06S,1
F10L,1
F13B,1
E03N,1
F13M,1
E12C,1
A07J,1
D12C,1
E01P,1
G01A,1
F14B,1
G12C,1
G07Q,1
H03Q,1
E28B,1
A31L,1
H61M,1
B22G,1
