code,freq,code_subclass,freq_subclass
G03R31,1,G03R,1
F13J15,1,F13J,1
C44B2111,1,C44B,1
B30S15,1,B30S,1
A61E13,1,A61E,1
C98L27,1,C98L,1
Y02R60,1,Y02R,1
H06N1,1,H06N,1
A05D1,1,A05D,1
B50L2240,1,B50L,1
D26B21,1,D26B,1
B05Y30,1,B05Y,1
B14B2005,1,B14B,1
B63R21,1,B63R,1
A45H5,1,A45H,1
F51B9,1,F51B,1
A26K1,1,A26K,1
B24J9,1,B24J,1
H21K9,1,H21K,1
C93B21,1,C93B,1
F04L69,1,F04L,1
F14H5,1,F14H,1
C01Q10,1,C01Q,1
Y10A977,1,Y10A,1
B52D15,1,B52D,1
H10C1,1,H10C,1
F12D23,1,F12D,1
F02E10,1,F02E,1
B52J9,1,B52J,1
B04N7,1,B04N,1
G23D11,1,G23D,1
G64D45,1,G64D,1
B03G2215,1,B03G,1
H10G9,1,H10G,1
F10P3,1,F10P,1
A23U2002,1,A23U,1
D60D1,1,D60D,1
B06I11,1,B06I,1
E95B1,1,E95B,1
A08B13,1,A08B,1
E10B10,1,E10B,1
F82F27,1,F82F,1
F14A9,1,F14A,1
B82V20,1,B82V,1
B41H2,1,B41H,1
E16M11,1,E16M,1
G24C3,1,G24C,1
G60L11,1,G60L,1
B55H9,1,B55H,1
G26B21,1,G26B,1
F31Y2101,1,F31Y,1
H95H1,1,H95H,1
A04L63,1,A04L,1
B14F1,1,B14F,1
B37D3,1,B37D,1
Y20B60,1,Y20B,1
C97C209,1,C97C,1
G15F15,1,G15F,1
Y20S362,1,Y20S,1
H07M11,1,H07M,1
E63J99,1,E63J,1
A23I1,1,A23I,1
B05H2701,1,B05H,1
B16L23,1,B16L,1
B50K2350,1,B50K,1
F60W2030,1,F60W,1
A43L21,1,A43L,1
B01A2300,1,B01A,1
B35F5,1,B35F,1
B62R9,1,B62R,1
H34N7,1,H34N,1
G62M6,1,G62M,1
A44G7,1,A44G,1
A06M5,1,A06M,1
F23V23,1,F23V,1
B50J1,1,B50J,1
D25C1,1,D25C,1
B32N2307,1,B32N,1
H82Y30,1,H82Y,1
B32R11,1,B32R,1
B44M7,1,B44M,1
A26D3,1,A26D,1
G96T11,1,G96T,1
H29C47,1,H29C,1
Y10R156,1,Y10R,1
A10T156,1,A10T,1
A23W2200,1,A23W,1
G82Y20,1,G82Y,1
F01S8,1,F01S,1
G06V99,1,G06V,1
G08V25,1,G08V,1
C24C1,1,C24C,1
B21M5,1,B21M,1
B12K11,1,B12K,1
G90B9,1,G90B,1
B22Y30,1,B22Y,1
F11B1,1,F11B,1
B25P23,1,B25P,1
F95D2220,1,F95D,1
B76H2511,1,B76H,1
F41D5,1,F41D,1
B45H2701,1,B45H,1
G91S13,1,G91S,1
H10B3,1,H10B,1
C23L14,1,C23L,1
C78F17,1,C78F,1
Y10G2300,1,Y10G,1
A63L1,1,A63L,1
A03D15,1,A03D,1
H20G9,1,H20G,1
B03F7,1,B03F,1
F20D9,1,F20D,1
H06T2207,1,H06T,1
F10C11,1,F10C,1
G04V37,1,G04V,1
C13N15,1,C13N,1
B01H23,1,B01H,1
F02H2063,1,F02H,1
A16N1,1,A16N,1
A31C1,1,A31C,1
F32M9,1,F32M,1
B09K2105,1,B09K,1
D07G2201,1,D07G,1
B35C35,1,B35C,1
F15K15,1,F15K,1
H03R13,1,H03R,1
A21K1,1,A21K,1
H05Q3,1,H05Q,1
A21L1,1,A21L,1
H81B220,1,H81B,1
A06K9,1,A06K,1
B04R1,1,B04R,1
F60K6,1,F60K,1
B43D25,1,B43D,1
B01G23,1,B01G,1
B21P15,1,B21P,1
B54C33,1,B54C,1
A41K31,1,A41K,1
H01Y21,1,H01Y,1
D09F60,1,D09F,1
G16Q10,1,G16Q,1
E08B9,1,E08B,1
E20F3,1,E20F,1
A25L1,1,A25L,1
F06K31,1,F06K,1
C90D11,1,C90D,1
H09P9,1,H09P,1
E94B1,1,E94B,1
A14D19,1,A14D,1
A01A14,1,A01A,1
D60F39,1,D60F,1
G60P3,1,G60P,1
H29L29,1,H29L,1
B32Q17,1,B32Q,1
H01V3,1,H01V,1
A52B1,1,A52B,1
G60C23,1,G60C,1
G26K9,1,G26K,1
B62Q1,1,B62Q,1
B63N27,1,B63N,1
B47D47,1,B47D,1
B04H4,1,B04H,1
B34L19,1,B34L,1
E03E1,1,E03E,1
B24Q11,1,B24Q,1
F26H2061,1,F26H,1
F04G5,1,F04G,1
B66P9,1,B66P,1
B04F21,1,B04F,1
F14D41,1,F14D,1
D23D53,1,D23D,1
A14G1,1,A14G,1
B06S1,1,B06S,1
F10L1,1,F10L,1
F13B37,1,F13B,1
E03N7,1,E03N,1
F13M11,1,F13M,1
E12C35,1,E12C,1
A07J37,1,A07J,1
D12C11,1,D12C,1
E01P15,1,E01P,1
G01A17,1,G01A,1
F14B5,1,F14B,1
G12C13,1,G12C,1
G07Q20,1,G07Q,1
H03Q2011,1,H03Q,1
E28B7,1,E28B,1
A31L1,1,A31L,1
H61M5,1,H61M,1
B22G2304,1,B22G,1
A91B2019,1,A91B,1
F18B15,1,F18B,1
A65C11,1,A65C,1
F15L3,1,F15L,1
G70D11,1,G70D,1
H08W8,1,H08W,1
H10K11,1,H10K,1
B09J5,1,B09J,1
Y01H9,1,Y01H,1
F26D13,1,F26D,1
B99C23,1,B99C,1
A32D9,1,A32D,1
H40M1,1,H40M,1
C02G3,1,C02G,1
B70W20,1,B70W,1
G11F11,1,G11F,1
A16C35,1,A16C,1
F64D11,1,F64D,1
G61N1,1,G61N,1
F94B43,1,F94B,1
A41Q1,1,A41Q,1
A10C9,1,A10C,1
C03H1,1,C03H,1
A64L2430,1,A64L,1
G26E3,1,G26E,1
G09P2320,1,G09P,1
A27B45,1,A27B,1
F52D2331,1,F52D,1
D25B27,1,D25B,1
E64D29,1,E64D,1
F07B7,1,F07B,1
C98B15,1,C98B,1
F61B37,1,F61B,1
A71L27,1,A71L,1
A71K31,1,A71K,1
F12S4,1,F12S,1
B35B5,1,B35B,1
F09B21,1,F09B,1
B01V1,1,B01V,1
B76B1,1,B76B,1
B56B51,1,B56B,1
A48B11,1,A48B,1
H93M1,1,H93M,1
G65D1,1,G65D,1
E07B7,1,E07B,1
F14G7,1,F14G,1
B08C1,1,B08C,1
C17F7,1,C17F,1
B50N2,1,B50N,1
C07V11,1,C07V,1
A41O31,1,A41O,1
F10F3,1,F10F,1
B19C70,1,B19C,1
A53C9,1,A53C,1
E09B9,1,E09B,1
H20M3,1,H20M,1
G01Y1,1,G01Y,1
Y60T10,1,Y60T,1
B01Q1,1,B01Q,1
D05F87,1,D05F,1
B81Y30,1,B81Y,1
H92H3,1,H92H,1
B15J15,1,B15J,1
A10F29,1,A10F,1
H10Q9,1,H10Q,1
D65G90,1,D65G,1
B69D45,1,B69D,1
B40R16,1,B40R,1
B55D45,1,B55D,1
D23P11,1,D23P,1
B91B3,1,B91B,1
H50B6,1,H50B,1
G05T3,1,G05T,1
B62I3,1,B62I,1
A51L2,1,A51L,1
C13D3,1,C13D,1
D63H21,1,D63H,1
F22N5,1,F22N,1
C06G73,1,C06G,1
A45K5,1,A45K,1
B59C35,1,B59C,1
A44H43,1,A44H,1
B63P11,1,B63P,1
H10R13,1,H10R,1
B55B1,1,B55B,1
F05K7,1,F05K,1
B65L1,1,B65L,1
F21J15,1,F21J,1
B51J2,1,B51J,1
C80F10,1,C80F,1
A02B9,1,A02B,1
F01R9,1,F01R,1
C19N9,1,C19N,1
F15M5,1,F15M,1
A41E1,1,A41E,1
D04F58,1,D04F,1
D26F1,1,D26F,1
H01A1,1,H01A,1
B82C2201,1,B82C,1
H24W12,1,H24W,1
A12M3,1,A12M,1
A53B24,1,A53B,1
C34C28,1,C34C,1
A91K9,1,A91K,1
F91L2001,1,F91L,1
A21V14,1,A21V,1
A60G7,1,A60G,1
A47I11,1,A47I,1
A34D34,1,A34D,1
F16V25,1,F16V,1
F05S2260,1,F05S,1
F19P3,1,F19P,1
H60R16,1,H60R,1
B01P1,1,B01P,1
A61T7,1,A61T,1
Y03Y4,1,Y03Y,1
B07D7,1,B07D,1
B16R13,1,B16R,1
A03F13,1,A03F,1
G22C11,1,G22C,1
B81G2201,1,B81G,1
A32K1,1,A32K,1
F24L19,1,F24L,1
B23O15,1,B23O,1
B05F5,1,B05F,1
F35D23,1,F35D,1
B14M5,1,B14M,1
A49B96,1,A49B,1
F20C7,1,F20C,1
G07M17,1,G07M,1
B08Y20,1,B08Y,1
D02B5,1,D02B,1
F25G23,1,F25G,1
H30F2200,1,H30F,1
C16C19,1,C16C,1
G20F2001,1,G20F,1
H01D21,1,H01D,1
C05K5,1,C05K,1
G96K9,1,G96K,1
B64T5,1,B64T,1
B25Q13,1,B25Q,1
H93H9,1,H93H,1
A11B99,1,A11B,1
B56C1,1,B56C,1
A06N1,1,A06N,1
B29G59,1,B29G,1
B83Y5,1,B83Y,1
H21L21,1,H21L,1
A03H1,1,A03H,1
D19B2101,1,D19B,1
F46B23,1,F46B,1
G09J2421,1,G09J,1
Y01M29,1,Y01M,1
A45N2200,1,A45N,1
G05I1,1,G05I,1
B10T156,1,B10T,1
A05K3,1,A05K,1
C23B23,1,C23B,1
H05W52,1,H05W,1
B12B2260,1,B12B,1
F02T10,1,F02T,1
E32B34,1,E32B,1
H94B7,1,H94B,1
B91J2,1,B91J,1
G16J15,1,G16J,1
G20C7,1,G20C,1
C90K3,1,C90K,1
A32L1,1,A32L,1
H11C29,1,H11C,1
G67F13,1,G67F,1
F47H5,1,F47H,1
F03M25,1,F03M,1
G93G15,1,G93G,1
H05S3,1,H05S,2
G23C14,1,G23C,2
B85Y40,1,B85Y,2
B07F17,2,B07F,2
A44F5,1,A44F,2
A12N15,1,A12N,2
F21I14,2,F21I,2
G21N1,1,G21N,2
B30C3,2,B30C,2
E25H1,2,E25H,2
G90F21,1,G90F,2
B95D90,2,B95D,2
C23M1,1,C23M,2
G11H27,2,G11H,2
F29V21,2,F29V,2
