code,freq,code_subclass,freq_subclass
F05C2201,1,F05C,1
G10I15,1,G10I,1
G60R1,1,G60R,1
F01F15,1,F01F,1
G62D25,1,G62D,1
B32Q9,1,B32Q,1
G07K7,1,G07K,1
H99Z99,1,H99Z,1
E44C7,1,E44C,1
F21H1,1,F21H,1
C01K11,1,C01K,1
Y02C10,1,Y02C,1
H04I49,1,H04I,1
A64B13,1,A64B,1
E10C23,2,E10C,2
B06C15,2,B06C,2
C06F5,2,C06F,2
H30G3,2,H30G,2
B68F1,2,B68F,2
C12D8,1,C12D,3
C12Y207,1,C12Y,3
D02H1,3,D02H,3
F06F2261,1,F06F,3
G08F8,3,G08F,3
C10H15,1,C10H,3
H01N1,1,H01N,3
F17B1,3,F17B,3
D06J1,3,D06J,3
B41G7,4,B41G,4
Y04S20,2,Y04S,4
H01I27,1,H01I,5
Y02B70,1,Y02B,6
D06G5,1,D06G,6
Y02T50,1,Y02T,6
C12J1,7,C12J,7
C10F7,2,C10F,7
A47I7,1,A47I,7
B27J1,4,B27J,8
B41D3,4,B41D,8
E02C1,1,E02C,8
C01P2001,1,C01P,9
G10B1,3,G10B,10
D04G3,1,D04G,10
G06J3,1,G06J,10
G09D3,12,G09D,12
G06D1,6,G06D,13
A23V2200,3,A23V,14
B27H3,2,B27H,14
C09H5,1,C09H,16
F16S20060101SI20051110RMEP,1,F16S,18
H05C3,3,H05C,18
D03J5,1,D03J,19
B41B27,1,B41B,19
E05Y2600,2,E05Y,20
