code_subclass,freq_subclass
F05C,1
G10I,1
G60R,1
F01F,1
G62D,1
B32Q,1
G07K,1
H99Z,1
E44C,1
F21H,1
C01K,1
Y02C,1
H04I,1
A64B,1
E10C,2
B06C,2
C06F,2
H30G,2
B68F,2
C12D,3
C12Y,3
D02H,3
F06F,3
G08F,3
C10H,3
H01N,3
F17B,3
D06J,3
B41G,4
Y04S,4
H01I,5
Y02B,6
D06G,6
Y02T,6
C12J,7
C10F,7
A47I,7
B27J,8
B41D,8
E02C,8
C01P,9
G10B,10
D04G,10
G06J,10
G09D,12
G06D,13
A23V,14
B27H,14
C09H,16
F16S,18
H05C,18
D03J,19
B41B,19
E05Y,20
B62C,21
B21G,22
C12S,22
D01C,23
C23D,23
Y10T,25
Y10S,26
G06C,27
B01B,27
D01B,28
B61J,28
C09F,29
Y02E,30
G10F,30
D04D,31
G03D,34
B21L,34
C06C,39
B27D,39
A42C,42
C12F,43
F16T,44
A63K,46
B68B,47
D21J,50
